"year","sex","age","deaths"
1990,"male",0,274.707259953162
1990,"male",1,114.124707259953
1990,"male",5,38.3782201405152
1990,"male",10,83.826112412178
1990,"male",15,181.791569086651
1990,"male",20,241.378805620609
1990,"male",25,201.990632318501
1990,"male",30,219.159836065574
1990,"male",35,203.000585480094
1990,"male",40,161.592505854801
1990,"male",45,201.990632318501
1990,"male",50,264.607728337237
1990,"male",55,294.906323185012
1990,"male",60,363.583138173302
1990,"male",65,424.180327868852
1990,"male",70,469.628220140515
1990,"male",75,517.096018735363
1990,"male",80,384.792154566745
1990,"male",85,534.265222482436
1991,"male",0,248.634034416826
1991,"male",1,99.0493307839388
1991,"male",5,50.5353728489484
1991,"male",10,63.674569789675
1991,"male",15,191.023709369025
1991,"male",20,286.030210325048
1991,"male",25,243.580497131931
1991,"male",30,234.48413001912
1991,"male",35,213.259273422562
1991,"male",40,161.713193116635
1991,"male",45,186.980879541109
1991,"male",50,220.334225621415
1991,"male",55,298.158699808795
1991,"male",60,398.218738049713
1991,"male",65,448.754110898662
1991,"male",70,485.139579349904
1991,"male",75,457.850478011472
1991,"male",80,432.582791586998
1991,"male",85,565.996175908222
1992,"male",0,209.068049010368
1992,"male",1,73.7293119698398
1992,"male",5,57.5694627709708
1992,"male",10,71.7093308199811
1992,"male",15,178.768331762488
1992,"male",20,287.847313854854
1992,"male",25,243.407728557964
1992,"male",30,260.577568331763
1992,"male",35,220.17794533459
1992,"male",40,220.17794533459
1992,"male",45,198.968143261074
1992,"male",50,280.777379830349
1992,"male",55,327.236946277097
1992,"male",60,388.846371347785
1992,"male",65,443.385862393968
1992,"male",70,496.915362865221
1992,"male",75,471.665598491989
1992,"male",80,418.136098020735
1992,"male",85,509.035249764373
1993,"male",0,224.51586102719
1993,"male",1,89.6049848942598
1993,"male",5,58.3942598187311
1993,"male",10,56.380664652568
1993,"male",15,196.325528700906
1993,"male",20,268.814954682779
1993,"male",25,261.767371601208
1993,"male",30,218.475075528701
1993,"male",35,197.332326283988
1993,"male",40,202.366314199396
1993,"male",45,232.570241691843
1993,"male",50,232.570241691843
1993,"male",55,274.855740181269
1993,"male",60,439.970543806647
1993,"male",65,460.106495468278
1993,"male",70,505.412386706949
1993,"male",75,469.167673716012
1993,"male",80,416.81419939577
1993,"male",85,526.555135951662
1994,"male",0,229.360716166403
1994,"male",1,82.4893803756363
1994,"male",5,58.3461470949623
1994,"male",10,57.3401790416008
1994,"male",15,210.247323152536
1994,"male",20,296.760575741618
1994,"male",25,276.64121467439
1994,"male",30,232.378620326488
1994,"male",35,232.378620326488
1994,"male",40,203.205546779006
1994,"male",45,257.527821660523
1994,"male",50,283.68299104792
1994,"male",55,330.963489555907
1994,"male",60,439.60803931894
1994,"male",65,454.697560119361
1994,"male",70,580.443566789538
1994,"male",75,446.64981569247
1994,"male",80,512.037739160962
1994,"male",85,546.24065297525
1995,"male",0,227.455099966113
1995,"male",1,80.5150796340224
1995,"male",5,53.3412402575398
1995,"male",10,42.2704168078617
1995,"male",15,198.26838359878
1995,"male",20,314.008810572687
1995,"male",25,246.577431379193
1995,"male",30,262.680447305998
1995,"male",35,238.525923415791
1995,"male",40,232.48729244324
1995,"male",45,223.429345984412
1995,"male",50,294.886479159607
1995,"male",55,323.066757031515
1995,"male",60,419.684852592342
1995,"male",65,488.122670281261
1995,"male",70,577.695696374111
1995,"male",75,528.380210098272
1995,"male",80,475.038969840732
1995,"male",85,713.564893256523
1996,"male",0,199.932357395255
1996,"male",1,79.7709910819451
1996,"male",5,66.6441191317516
1996,"male",10,55.5367659431264
1996,"male",15,177.717651018004
1996,"male",20,269.605754669359
1996,"male",25,265.566717146222
1996,"male",30,234.264176341915
1996,"male",35,252.439845196029
1996,"male",40,241.332492007404
1996,"male",45,223.15682315329
1996,"male",50,274.654551573279
1996,"male",55,346.347467608952
1996,"male",60,422.07942116776
1996,"male",65,490.74305906108
1996,"male",70,570.514050143025
1996,"male",75,567.484772000673
1996,"male",80,506.899209153626
1996,"male",85,756.309776207303
1997,"male",0,185.456873315364
1997,"male",1,79.6255053908356
1997,"male",5,46.364218328841
1997,"male",10,64.5067385444744
1997,"male",15,170.338106469003
1997,"male",20,262.058625336927
1997,"male",25,253.995283018868
1997,"male",30,235.852762803234
1997,"male",35,221.741913746631
1997,"male",40,246.939858490566
1997,"male",45,236.860680592992
1997,"male",50,282.216981132075
1997,"male",55,354.787061994609
1997,"male",60,474.729278975741
1997,"male",65,506.982648247978
1997,"male",70,580.560646900269
1997,"male",75,587.616071428571
1997,"male",80,448.523416442049
1997,"male",85,743.84332884097
1998,"male",0,160.878389619032
1998,"male",1,71.3897853934454
1998,"male",5,37.2031275994011
1998,"male",10,43.2360672101148
1998,"male",15,153.839960073199
1998,"male",20,249.361503909499
1998,"male",25,252.377973714856
1998,"male",30,206.125436699384
1998,"male",35,234.279154882715
1998,"male",40,251.372483779737
1998,"male",45,278.520712027949
1998,"male",50,288.575611379138
1998,"male",55,372.031275994011
1998,"male",60,438.393611711862
1998,"male",65,572.123773082682
1998,"male",70,603.293961071369
1998,"male",75,622.398269838629
1998,"male",80,466.547329895192
1998,"male",85,742.051572117784
1999,"male",0,175.76303873889
1999,"male",1,70.3052154955559
1999,"male",5,53.2310917323495
1999,"male",10,56.2441723964447
1999,"male",15,136.592990105652
1999,"male",20,231.002850913969
1999,"male",25,256.111856448097
1999,"male",30,215.937447593493
1999,"male",35,214.933087372128
1999,"male",40,235.02029179943
1999,"male",45,244.059533791716
1999,"male",50,308.338587959081
1999,"male",55,326.417071943653
1999,"male",60,440.914137179272
1999,"male",65,541.350159315781
1999,"male",70,619.690256582257
1999,"male",75,603.620493040416
1999,"male",80,535.32399798759
1999,"male",85,724.143719604226
2000,"male",0,140.520006753334
2000,"male",1,56.2080027013338
2000,"male",5,38.1411446901908
2000,"male",10,64.2377173729529
2000,"male",15,136.505149417525
2000,"male",20,198.735438122573
2000,"male",25,237.880297146716
2000,"male",30,223.828296471383
2000,"male",35,198.735438122573
2000,"male",40,224.832010805335
2000,"male",45,250.928583488097
2000,"male",50,300.110585851764
2000,"male",55,351.300016883336
2000,"male",60,473.753165625528
2000,"male",65,548.028026338004
2000,"male",70,607.247172041195
2000,"male",75,604.236029039338
2000,"male",80,513.901738983623
2000,"male",85,775.871180145197
2001,"male",0,112.471777590564
2001,"male",1,56.2358887952822
2001,"male",5,46.1937657961247
2001,"male",10,51.2148272957035
2001,"male",15,134.564448188711
2001,"male",20,212.89300758214
2001,"male",25,244.023588879528
2001,"male",30,210.884582982308
2001,"male",35,192.808761583825
2001,"male",40,244.023588879528
2001,"male",45,273.145745577085
2001,"male",50,270.133108677338
2001,"male",55,352.47851727043
2001,"male",60,480.01347935973
2001,"male",65,573.405223251896
2001,"male",70,603.531592249368
2001,"male",75,619.59898904802
2001,"male",80,537.253580454928
2001,"male",85,745.125526537489
2002,"male",0,211.675740592474
2002,"male",1,64.2049639711769
2002,"male",5,43.1377101681345
2002,"male",10,45.1441152922338
2002,"male",15,127.406725380304
2002,"male",20,197.630904723779
2002,"male",25,241.771817453963
2002,"male",30,220.704563650921
